ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:XLK210108C00110000,2021-01-04,2021-01-08,XLK,C,110.0,6.0,20.43,17.3,-31.03,YES,17.3,15.73,20.43,18.57,20.43,16.95,5.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00115000,2021-01-04,2021-01-08,XLK,C,115.0,6.0,16.45,12.93,-27.9,YES,12.93,11.24,16.45,14.3,16.45,12.93,4.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00123500,2021-01-04,2021-01-08,XLK,C,123.5,1.0,4.3,4.3,-22.57,YES,4.3,3.48,4.3,3.48,4.3,4.3,1.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00124000,2021-01-04,2021-01-08,XLK,C,124.0,1.0,6.1,6.1,-22.26,YES,6.1,4.92,6.1,4.92,6.1,6.1,1.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00124500,2021-01-04,2021-01-08,XLK,C,124.5,22.0,3.2,3.21,-21.94,YES,3.21,2.58,3.2,2.57,3.21,3.2,4.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00125000,2021-01-04,2021-01-08,XLK,C,125.0,128.0,5.0,3.35,-21.63,YES,3.35,2.68,5.0,4.0,5.0,2.85,6.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00125500,2021-01-04,2021-01-08,XLK,C,125.5,31.0,3.33,2.85,-21.32,YES,2.85,2.27,3.33,2.65,3.33,2.85,2.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00126000,2021-01-04,2021-01-08,XLK,C,126.0,24.0,4.0,2.75,-21.0,YES,2.75,2.18,4.0,3.17,4.0,2.2,4.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00126500,2021-01-04,2021-01-08,XLK,C,126.5,3.0,2.16,2.48,-20.69,YES,2.48,1.96,2.16,1.71,2.48,2.16,3.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00127000,2021-01-04,2021-01-08,XLK,C,127.0,35.0,3.48,2.27,-20.38,YES,2.27,1.79,3.48,2.74,3.48,1.83,14.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00127500,2021-01-04,2021-01-08,XLK,C,127.5,173.0,3.25,1.95,-20.06,YES,1.95,1.53,3.25,2.55,3.25,1.62,15.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00128000,2021-01-04,2021-01-08,XLK,C,128.0,100.0,2.74,1.66,-19.75,YES,1.66,1.3,2.74,2.14,2.75,1.28,36.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
O:XLK210108C00129000,2021-01-04,2021-01-08,XLK,C,129.0,135.0,2.65,1.08,-19.12,YES,1.08,0.84,2.65,2.05,2.65,0.78,44.0,1609736400000000000,4.0,Weekly,159.5,159.5,159.5,159.5,159.5,159.5,159.5,159.5,0.0009,
